StationID,NHDcomid,Qbf_ma_m3_div_s,w_ma_m,d_ma_m,a_coeff,b_coeff,c_coeff,f_coeff
1104430,5866423,0.046226275,5.887487433,0.316903826,7.036868803,0.172240979,0.509052171,0.457759021
1124000,6144833,1.806860212,29.85801533,1.059108983,22.21144396,0.139761565,0.399796563,0.460238435
1125100,6148379,1.130402132,24.25736288,0.907603689,18.7489561,0.147288357,0.404076563,0.462711643
1184000,7700898,253.3040124,143.1725686,5.389214678,16.19936258,0.361460059,1.951013141,0.168539941
1196500,6177816,1.236387314,25.23959595,0.934775147,18.52255803,0.17033752,0.35072003,0.53966248
1201487,7716694,0.644370017,18.91167192,0.754314292,15.50102944,0.150168942,0.415750568,0.449831058
1208500,7718060,3.437972741,39.70092424,1.308871276,27.86269344,0.124945797,0.370804302,0.445054203
1208990,7731665,0.169263679,10.46135874,0.485801855,10.15308613,0.158484663,0.446962245,0.441515337
1382210,6246352,0.376547697,11.85667348,0.438926767,11.00690048,0.148911138,0.352146091,0.441088862
1484080,8074904,1.278695157,21.74301114,0.662335386,18.30286507,0.159877735,0.370148194,0.540122265
1484085,8075804,1.559138138,23.99027121,0.708043803,20.12593943,0.140955956,0.384956431,0.489044044
1487150,8391556,0.032517638,3.51846253,0.19249177,5.421563575,0.187807031,0.570842258,0.472192969
1648010,22338431,1.013721054,19.3774871,0.612545283,17.32274186,0.140126341,0.424008958,0.459873659
165389205,22338713,0.045366528,4.150349514,0.215318668,5.877617404,0.17424665,0.524402116,0.44575335
1654000,22340331,0.329685423,11.10025213,0.419726883,11.35777491,0.157850503,0.448878246,0.462149497
1654500,22340329,0.042976883,4.040434278,0.211432985,5.768414556,0.171793443,0.524318481,0.438206557
1658000,4529063,0.828872214,17.53600123,0.57241901,16.25686663,0.140278419,0.449013454,0.449721581
166818623,8476452,0.187351178,8.386672309,0.347028257,9.527101707,0.163231577,0.495802849,0.456768423
166818985,8476832,0.432496168,12.70001254,0.45987435,12.76695968,0.15251175,0.467184574,0.45748825
2042222,10067525,228.9604392,149.0568445,3.795810548,18.52229322,0.37029344,1.101412739,0.21970656
209303205,10519332,1.594521292,18.60437092,0.949680568,13.59351627,0.168919683,0.367486719,0.511080317
2110500,9069040,15.5875789,45.18222581,2.003488886,27.25530764,0.138128711,0.319304045,0.501871289
2110550,9069104,17.62754498,47.39748735,2.085817402,28.36402989,0.136257855,0.312533857,0.503742145
212378405,9211976,79.78235441,85.30037233,3.419640416,56.0707088,0.082117351,0.313161894,0.467882649
2162035,9707984,91.18497292,89.85249722,3.572539662,60.24779436,0.075064651,0.300470408,0.464935349
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
21989773,20107225,201.80604,122.4063149,4.633890379,89.57494455,0.052932696,0.20680565,0.527067304
2203960,6333710,0.282870343,9.491154193,0.539088036,8.711195836,0.164021805,0.422531467,0.465978195
2204037,6333794,0.134960259,7.116092703,0.423085445,7.261178541,0.168945073,0.447577475,0.471054927
2207135,6333488,0.013444139,2.900038464,0.198813171,4.434039109,0.18501981,0.619092918,0.49498019
2207160,6333546,0.230026094,8.75721564,0.503793592,8.232005811,0.164702659,0.423028929,0.465297341
2208450,6331748,1.903802973,19.93329673,1.006438715,14.09808409,0.170283895,0.349703443,0.519716105
2208493,6331758,0.220034072,8.607157171,0.496520681,8.263065112,0.167460865,0.442526536,0.472539135
2217643,1047417,0.017522058,3.214996613,0.216828947,4.658281912,0.181795645,0.586944882,0.488204355
2231254,18257723,21.31009967,51.02956161,2.219498545,32.68943755,0.128949507,0.407114633,0.491050493
2231291,18252975,3.252286352,24.55223563,1.19932773,17.93842882,0.161622758,0.446880453,0.508377242
2235500,10995987,0.00053962,0.829709237,0.069374525,3.006531911,0.217930158,1.919966075,0.562069842
2264000,21478144,0.001289539,1.164590647,0.092274968,3.814947978,0.21083609,2.029194331,0.54916391
2319302,166758629,33.43876133,60.80957241,2.572304445,36.36419162,0.12782183,0.369813252,0.48217817
2320250,2229745,129.6967928,103.057131,4.009374204,62.93978884,0.092920189,0.302347107,0.487079811
2322688,2161388,0.002422105,1.48838912,0.113428468,3.536070979,0.201610986,1.095578262,0.528389014
2323502,2232713,167.1014222,113.7387381,4.35623329,77.69578848,0.067238865,0.238194,0.512761135
2323566,933110050,168.9241871,114.2199941,4.371735749,78.12813298,0.066891232,0.237396393,0.513108768
23362095,2048005,0.031329206,4.030856669,0.262270956,5.222448406,0.177902411,0.529116114,0.482097589
2336340,2047893,0.179582913,7.952867754,0.464568116,7.871944085,0.168099159,0.451419329,0.471900841
2397530,15823427,74.06641583,82.86780395,3.337405881,50.74922494,0.091656538,0.244784112,0.488343462
2423160,21654200,0.445625079,11.32759133,0.625589671,9.86323509,0.157234695,0.419929311,0.452765305
2492620,15714387,137.3749187,109.8174507,3.889927213,52.97773881,0.123231189,0.231810951,0.476768811
3238745,1922540,0.419678288,11.03667168,0.458653553,10.49288033,0.160932575,0.398339826,0.449067425
3238772,1922518,0.030598043,3.648904468,0.199673222,5.314874803,0.183725909,0.518600528,0.466274091
3254520,2087849,82.11024901,102.657273,2.450330976,66.09800088,0.090773538,0.251690439,0.469226462
