site_name	site_database	site_num	long_name	lat	lon	coord_datum	alt	alt_datum	site_type	nhdplus_id	nhdplus_id_confidence	sciencebase_id
#""	""	""	""	"degN"	"degE"	""	"ft"	""	""	""	""	""
nwis_01021050	nwis	01021050	St. Croix River at Milltown, Maine	45.17	-67.2966667	NAD83	NA		ST	5197168	MOST_SURE	556f28bee4b0d9246a9fcd4c
nwis_01036390	nwis	01036390	Penobscot River at Eddington, Maine	44.82666667	-68.6966667	NAD83	7.2	NGVD29	ST	1736862	MOST_SURE	556f28bfe4b0d9246a9fcd50
nwis_01073389	nwis	01073389	Pawtuckaway Lake near Nottingham, NH	43.08444444	-71.1561111	NAD83	248.5	NAVD88	LK	5848650	MAYBE2	556f28e9e4b0d9246a9fcdd8
nwis_01104430	nwis	01104430	HOBBS BK BELOW CAMBRIDGE RES NR KENDALL GREEN, MA	42.3981512	-71.2733903	NAD83	150	NGVD29	ST	NA	NA	5716a6fbe4b0ef3b7ca9960f
nwis_01124000	nwis	01124000	QUINEBAUG RIVER AT QUINEBAUG, CT	42.0223189	-71.9556289	NAD83	341.52	NGVD29	ST	NA	NA	5716a708e4b0ef3b7ca99617
nwis_01125100	nwis	01125100	FRENCH RIVER AT NORTH GROSVENORDALE, CT	41.97846389	-71.90051389	NAD83	350	NGVD29	ST	NA	NA	5716a713e4b0ef3b7ca9961f
nwis_01184000	nwis	01184000	CONNECTICUT RIVER AT THOMPSONVILLE, CT	41.9873186	-72.6053669	NAD83	38.48	NGVD29	ST	NA	NA	5716a720e4b0ef3b7ca9962d
nwis_01191000	nwis	01191000	NORTH BRANCH PARK RIVER AT HARTFORD, CT	41.78443889	-72.7080556	NAD83	34.2	NGVD29	ST	NA	NA	587951bbe4b04df303d97eab
nwis_01193050	nwis	01193050	CONNECTICUT RIVER AT MIDDLE HADDAM, CT	41.5417656	-72.5531454	NAD83	NA	NA	ST-TS	7701224	MOST_SURE	559c7f1fe4b0b94a640189fd
nwis_01193463	nwis	01193463	SALMON RIVER US WOLF BROOK NR N WESTCHESTER CT	41.57416944	-72.42947778	NAD83	125	NAVD88	ST	NA	NA	5716b133e4b0ef3b7ca9999d
nwis_01194750	nwis	01194750	CONNECTICUT RIVER AT ESSEX, CT	41.3514833	-72.3843667	NAD83	0	NGVD29	ES	7702872	MAYBE2	556f1dcce4b0d9246a9fc1a6
nwis_01195510	nwis	01195510	QUINNIPIAC RIVER DS W CENTER ST AT SOUTHINGTON, CT	41.5991111	-72.8857222	NAD83	141	NAVD88	ST	NA	NA	57866d2ce4b0e02680c1073b
nwis_01196222	nwis	01196222	QUINNIPIAC R NR MERIDEN, CT	41.5292642	-72.8634344	NAD83	100	NGVD29	ST	NA	NA	5716b13de4b0ef3b7ca999a5
nwis_01196500	nwis	01196500	QUINNIPIAC RIVER AT WALLINGFORD, CT	41.45026389	-72.841275	NAD83	19.24	NGVD29	ST	NA	NA	5716a733e4b0ef3b7ca99635
nwis_01196528	nwis	01196528	QUINNIPIAC RIVER US RTE 22 AT N HAVEN, CT	41.39795	-72.8682056	NAD83	8	NAVD88	ST	NA	NA	5716b14ee4b0ef3b7ca999b1
nwis_01200600	nwis	01200600	HOUSATONIC RIVER NEAR NEW MILFORD, CT	41.5931499	-73.4495669	NAD83	201	NGVD29	ST	NA	NA	5716b160e4b0ef3b7ca999b9
nwis_01201487	nwis	01201487	STILL RIVER AT ROUTE 7 AT BROOKFIELD CENTER, CT	41.4658222	-73.40320278	NAD83	256.18	NGVD29	ST	NA	NA	5716a742e4b0ef3b7ca9963d
nwis_01203000	nwis	01203000	SHEPAUG R NR ROXBURY, CT	41.54981744	-73.32984029	NAD83	281.98	NGVD29	ST	NA	NA	5716b175e4b0ef3b7ca999c6
nwis_01208500	nwis	01208500	NAUGATUCK RIVER AT BEACON FALLS, CT	41.4423	-73.0622833	NAD83	117.28	NGVD29	ST	NA	NA	5716a74de4b0ef3b7ca99646
nwis_01208990	nwis	01208990	SAUGATUCK RIVER NEAR REDDING, CT	41.29454	-73.39512029	NAD83	285.42	NGVD29	ST	NA	NA	5716a759e4b0ef3b7ca9964e
nwis_01304057	nwis	01304057	FLAX POND AT OLD FIELD NY	40.9628611	-73.1431667	NAD83	0	NAVD88	ES	9509806	MAYBE2	556f1f1fe4b0d9246a9fc5cd
nwis_01304200	nwis	01304200	ORIENT HARBOR AT ORIENT NY	41.13663889	-72.30675	NAD83	0	NAVD88	ES	NA	NO_COMID	556f1f21e4b0d9246a9fc5d1
nwis_01304562	nwis	01304562	PECONIC RIVER AT COUNTY HWY 105 AT RIVERHEAD NY	40.91777778	-72.6386667	NAD83	0	NAVD88	ES	9496582	MAYBE2	556f1f23e4b0d9246a9fc5d5
nwis_01310740	nwis	01310740	REYNOLDS CHANNEL AT POINT LOOKOUT NY	40.5934366	-73.5837396	NAD83	6	NAVD88	ES	NA	NO_COMID	556f28f1e4b0d9246a9fcdf4
nwis_01311143	nwis	01311143	HOG ISLAND CHANNEL AT ISLAND PARK NY	40.6088333	-73.6561111	NAD83	0	NAVD88	ES	NA	NO_COMID	556f28f2e4b0d9246a9fcdf8
nwis_01374019	nwis	01374019	HUDSON RIVER AT SOUTH DOCK AT WEST POINT NY	41.3862049	-73.95513879	NAD83	6.12	NGVD29	ES	6216172	MAYBE2	556f1f26e4b0d9246a9fc5e1
nwis_01382210	nwis	01382210	Pequannock River at Oak Ridge NJ	41.0397222	-74.5016667	NAD83	790	NAVD88	ST	6246352	MAYBE2	559c7f20e4b0b94a64018a01
nwis_01388000	nwis	01388000	Ramapo River at Pompton Lakes NJ	40.99194444	-74.28	NAD83	171.35	NGVD29	ST	6250614	MOST_SURE	559c7f21e4b0b94a64018a05
nwis_01389005	nwis	01389005	Passaic River below Pompton Riv at Two Bridges NJ	40.89638889	-74.2691667	NAD83	155	NGVD29	ST	6251122	MOST_SURE	556f1f13e4b0d9246a9fc5a1
nwis_01400500	nwis	01400500	Raritan River at Manville NJ	40.55555556	-74.58277778	NAD83	20.61	NGVD29	ST	9513852	MOST_SURE	559c7f21e4b0b94a64018a09
nwis_01408167	nwis	01408167	Barnegat Bay at Route 528 bridge at Mantoloking NJ	40.04055556	-74.0547222	NAD83	0	NAVD88	ES	NA	NO_COMID	556f1f16e4b0d9246a9fc5a9
nwis_01408500	nwis	01408500	Toms River near Toms River NJ	39.98638889	-74.2233333	NAD83	8.1	NGVD29	ST	9453743	MOST_SURE	556f28ede4b0d9246a9fcde4
nwis_01433500	nwis	01433500	MONGAUP RIVER NEAR MONGAUP NY	41.46138889	-74.75888889	NAD83	625.05	NGVD29	ST	4150156	MOST_SURE	556f28f3e4b0d9246a9fcdfc
nwis_01454700	nwis	01454700	Lehigh River at Glendon, PA	40.6692656	-75.23628808	NAD83	164.3	NGVD29	ST	4188251	MOST_SURE	556f292ce4b0d9246a9fceac
nwis_01458500	nwis	01458500	Delaware River at Frenchtown NJ	40.5261111	-75.065	NAD83	99.88	NGVD29	ST	2588507	MOST_SURE	556f28eee4b0d9246a9fcde8
nwis_01460200	nwis	01460200	Delaware R below Tohickon Cr at Point Pleasant, PA	40.41843797	-75.0612817	NAD83	NA	NA	ST	932040295	MOST_SURE	556f1fa5e4b0d9246a9fc799
nwis_01463500	nwis	01463500	Delaware River at Trenton NJ	40.22166667	-74.7780556	NAD83	0	NGVD29	ST	2590277	MOST_SURE	556f1f19e4b0d9246a9fc5b5
nwis_01465798	nwis	01465798	Poquessing Creek at Grant Ave. at Philadelphia, PA	40.05705567	-74.9851694	NAD83	2.68	NGVD29	ST	4488242	MOST_SURE	556f1fa7e4b0d9246a9fc79d
